x,y,z
-0.061802864,0.100403786,-0.042720318
-0.013504982,0.13780785,0.105968475
-0.023966074,0.3042493,0.06475496
0.07353461,0.34794855,-0.05049467
0.03327167,0.23800993,-0.06755924
0.056536555,0.10482502,-0.027915
0.026989698,-0.0386405,0.063344955
0.031064034,-0.14731312,-0.08051014
0.068914294,-0.031456947,-0.13120556
0.06708956,-0.24691105,-0.1682477
0.07511544,-0.08294058,-0.043322563
0.040412426,-0.2262311,-0.039984226
0.033525348,-0.13712597,-0.019460678
-0.08733618,-0.259377,0.099401474
-0.09726703,-0.1675334,-0.022191048
-0.027008295,-0.122544765,-0.01726675
-0.029543757,-0.018669128,-0.040163994
-0.018908024,-0.0119485855,-0.02570486
-0.053472877,0.038321495,-0.03637123
-0.1598705,0.3202572,-0.25005674
-0.16973782,0.32601547,-0.12939072
-0.27411938,0.0875988,0.044369698
-0.3026166,0.17711401,0.0667038
-0.16915798,0.3861003,-0.029327393
-0.13737452,0.55049753,-0.1382885
-0.18138933,0.78289175,-0.23254013
-0.18351007,1.0036421,-0.24995661
-0.18180251,1.086695,-0.28868437
-0.13933802,1.0877507,-0.5525074
-0.11062837,0.8677771,-0.66925645
-0.15814257,0.73465514,-0.5999403
-0.21613288,0.6540539,-0.590821
-0.18889046,0.52125764,-0.4715953
-0.2220211,0.34279895,-0.5025506
-0.36427522,-0.016581059,-0.43042517
-0.7924216,-0.31247258,-0.26781082
-0.98522425,-0.36087275,-0.18059254
-0.92167854,-0.16506982,-0.17840314
-0.86415386,-0.036691666,-0.31797242
-0.85798407,-0.060257673,-0.37971556
-0.9245205,-0.083001375,-0.43915105
-0.899683,0.028090715,-0.3913815
-0.7228966,0.11604476,-0.31790483
-0.7461271,0.034429073,-0.06402063
-0.9509988,-0.16490436,-0.083877444
-1.1173592,-0.15150714,-0.30038023
-1.4153662,-0.61181355,-0.19377565
-0.821558,-0.67043734,-0.07958007
0.031956673,-0.27891588,0.23100996
0.3422327,0.13254857,0.09728098
0.035154343,0.8433144,-0.19822943
-0.6471119,0.8155334,0.0447495
-0.18890476,0.960176,0.18186855
0.0032167435,0.8167747,0.23591435
