x,y,z
-0.08377552,-0.13219404,0.41738653
0.004610777,0.0042686462,-0.011749268
0.02287054,-0.057027817,0.14724207
0.01616931,-0.18512964,0.17238188
-0.10916996,0.71355057,-0.14250326
-0.0055127144,0.20384502,-0.15555859
0.03171444,-0.1637392,0.17318964
-0.1313994,0.23690796,0.12309933
-0.21587253,0.1638794,0.27491617
0.16370225,-0.40536976,-0.017122746
-0.01934576,0.48832083,-0.10596037
-0.070608616,0.24357271,-0.069346905
-0.461972,0.2570176,0.41683722
0.07208729,0.41425467,-0.04887581
-0.29556465,-0.25125837,-0.48330593
-0.20141959,0.2912197,0.09061146
0.067224264,-0.53686,-0.8858986
0.0797987,0.027223587,-0.71254253
0.0280869,-1.2651029,0.4250388
-0.2241261,-0.3315916,-7.2288513E-4
0.8494828,-0.5462575,-0.17973995
0.1728549,-0.48444653,0.07037306
0.42168176,-0.5046463,-0.13117456
0.3235066,-0.4241047,-0.11766195
0.22083473,-0.5686908,0.2434125
-0.10229993,-0.23065329,0.07304001
0.44784486,0.29214907,-0.26890612
0.255975,-0.25892067,0.047017574
-0.04303503,-0.23772621,-0.14305735
-0.17617464,-0.03415966,-0.040991306
-0.04992807,-0.18122005,-0.3204341
0.043128133,0.058699608,-0.16370583
0.2666391,0.33329964,-0.7038975
0.038872123,0.26234484,-0.1670208
0.38649833,-0.41436958,-0.9726367
0.15082479,0.015212059,-0.6730528
-1.2672094,-1.4980373,2.0132475
0.47304428,-0.4040556,0.08409929
-2.4415817,-0.2294817,0.5058489
-1.2546225,-0.8501892,1.246181
-0.46585464,1.8110065,-2.7971945
-0.6291213,0.517015,-0.80800724
0.66077113,2.2217345,-1.3062537
0.006110668,0.8120589,-0.88656807
1.4335366,1.3073139,-1.2079006
0.348984,1.4695163,-0.22449684
1.899674,-0.10912752,-0.20803428
0.7898152,-0.1479888,-0.85178566
1.815589,0.5365906,0.18422675
0.8355993,-0.18062496,0.44275045
1.4143176,-0.8894062,0.16384172
0.78258014,0.7117739,-0.46668494
0.30165374,-3.807293,2.401215
0.62976086,-1.4989061,0.70321274
-1.6716726,0.3554039,-0.032614946
0.080878675,-1.3354769,0.91688776
-3.1476574,3.676274,-2.3122828
-1.0813367,1.0595636,-0.50226045
-1.7784486,3.2538989,-2.2843091
-1.4324067,1.2780435,-0.47976053
-1.4239283,0.87004566,-2.0906312
-0.07621622,1.4057176,-2.2665713
-4.472497,-11.631401,9.51752
-0.8305826,2.5770745,0.54739046
-4.756094,-3.338274,-2.6269078
-2.3497725,-7.839676,1.5151343
-2.4538727,-4.986746,-5.5210905
-2.6967125,-3.623623,-4.8068304
5.9263573,26.351543,8.936775
-1.2928,-25.596277,-0.8493868
2.2693648,3.8522596,-3.609718
4.757541,-0.81058884,-4.076949
3.7006464,2.5611248,-3.121032
0.30748463,2.999793,2.6545691
0.4388914,-1.1876154,-6.538662
2.4689994,0.27268982,-3.1856918
0.5014281,0.62348175,-3.0087814
-1.0841951,-1.026001,-1.2958488
-0.24339151,-2.1322346,-1.0852356
0.64101934,-1.0627689,0.04401207
-1.2767978,1.6305199,-1.099597
-0.26859093,0.71255875,-1.9586868
-3.1445394,-7.121132,3.1241903
0.123506546,1.9163971,-0.4261322
-5.1935625,-7.2470646,-2.672289
-2.920888,-6.354286,2.8620853
-7.351898,-10.035011,1.0839777
-1.2499037,-3.390007,-4.264742
-5.746166,-4.6810226,4.8124924
-4.4329643,-7.485462,2.462483
3.7256975,6.241787,7.6806293
-0.9191685,-1.2747993,2.6707995
14.181467,17.516434,3.8514519
2.4014874,3.8417435,6.9637303
14.4710045,15.938264,1.0980096
8.970308,9.687173,-0.41124797
-1.4117283,8.778633,1.8406343
2.700438,5.339449,0.090081215
-3.361984,2.9974003,-7.68807
-2.7676501,2.754966,1.9488875
-6.0555763,5.310428,-2.9726362
-0.38961124,1.719285,-5.068197
-0.2784648,-0.77517986,-0.9697287
-2.0139003,1.5096517,-1.205961
-0.34040928,-3.4161704,3.198346
0.59731627,-1.5060126,0.95135474
1.7751334,-4.6015024,-1.0506022
-0.60153055,-2.3964024,1.4590288
2.177008,2.4088824,-2.827991
1.7625668,-0.028911583,-3.054133
4.116007,-1.1232839,-1.9148054
0.43540937,0.83483946,0.90134144
8.407455,14.139493,-14.934504
2.778945,3.0304441,-1.4767904
3.2173443,-2.5914946,-4.7360306
4.670122,11.984945,-7.896078
-31.628597,-25.799427,23.813305
-4.9332027,-4.3544517,9.307491
-44.369698,-4.8508425,-0.2581699
-13.971642,5.142241,24.757454
21.293278,26.123676,-17.700102
41.132286,-40.34636,1.9476874
2.6875744,19.993773,8.901836
8.2951,12.650448,6.4633207
9.125797,-11.320881,3.0761805
-2.7464387,6.9390364,-0.35419464
1.4079885,-6.8473907,-5.04267
11.849318,-7.198678,-0.51515675
-18.686,1.4867599,-19.939938
-6.2696514,-3.0799265,-4.6618795
-3.4839373,16.522045,-5.836726
-10.087297,3.2283144,-11.901073
-6.2045755,-15.500042,15.862579
8.431419,4.2659063,3.8574076
-6.810107,-2.7814639,29.668404
-3.3762712,-9.369565,7.077297
-13.602415,-0.6626234,-9.411297
2.775896,9.543462,14.13097
-19.526844,-7.713432,-1.9059181
-12.799042,-6.4596925,2.6691628
-10.177235,-4.693488,-1.4329281
-1.1320267,-15.775461,18.343803
13.305143,-0.5271511,-5.8552437
10.648237,1.5657253,-6.030468
13.517105,8.963839,-0.9864578
13.485318,9.855649,-1.3193302
8.275112,3.7915971,-1.871006
6.0024576,1.0751429,-3.1419191
3.959559,-0.43660927,-3.6028757
2.1265292,-2.30052,-3.9882946
0.44773483,-2.2384768,-4.0219736
-1.4771147,-0.37994194,-3.6497302
-3.249916,2.254469,-2.5028472
-4.3186216,2.9092607,-1.1712489
-4.562825,3.0846941,-0.54274035
-4.5413704,2.360341,-0.98018885
-3.8335114,0.746006,-2.3128386
-2.3461876,-0.76371026,-1.9736142
-1.5168839,-0.79829717,-0.84020114
-0.8283043,-0.50937796,-0.6419244
0.5807972,0.24554181,-1.3225436
1.8994026,0.5003793,-1.2325647
1.9894238,0.39685726,-0.2862506
0.83499527,-0.55506015,0.6166544
1.4016724,0.40630913,-0.26728988
2.7542048,1.7662783,-1.0291475
3.4620008,1.4721186,-1.2485857
3.538045,1.2118388,-1.1162788
2.9921865,0.17185496,-0.23327965
1.9425812,-1.2675408,0.27820975
1.8745556,0.18476182,0.3052342
1.7758565,1.0284274,1.0825453
2.4328647,1.275706,1.4267955
2.8870606,0.38434625,0.67564416
2.341116,-0.4205641,1.1372652
2.4728503,0.39891702,0.88874006
2.2828803,0.4744243,1.4345369
2.401869,-0.88695705,1.6122303
1.8988166,-2.6546304,1.3658662
0.53184175,-4.024978,1.9636116
0.014001131,-3.1827726,1.291954
-0.30975533,-1.1359882,0.3196621
-0.43728054,-0.7684045,-0.42365503
-0.42389476,-0.3109684,-1.1935778
-0.96541977,-0.8379836,-1.1132522
-1.2369134,-1.0327711,-0.58223724
-1.0413878,-0.6012144,-0.15964365
-0.54850197,-0.3035655,-0.5327449
-0.6054013,0.037094116,-0.5631385
-0.3813277,-1.2250757,-0.65001154
0.08845705,-1.113491,-0.65657616
0.050483406,-0.599246,-0.25931883
-0.37987643,0.23093128,-0.09394646
-0.62312865,-0.036078453,-0.29609823
-1.0791388,0.4228058,-0.911211
-1.8597853,1.0244818,-0.92487574
-2.6535988,1.1414042,-0.32683468
-3.3424492,1.1151032,0.06663799
-3.5473413,1.4644876,-0.26840663
-3.606454,1.7922893,-0.83372927
-2.7111216,0.9739163,-0.97028923
-2.2223854,0.59878993,-0.757359
-1.2706308,0.15951157,-0.6854396
-0.7335253,-0.47098875,-0.35593784
0.03466606,-0.22328615,-0.30441475
-0.5462923,-0.5183139,0.7199513
-0.8797989,-1.0181861,1.1411052
0.21533108,-0.36203575,0.39167142
1.6854229,0.57274866,-1.1712947
2.2861147,0.3067999,-1.0821353
1.9994154,-0.6908431,0.2543881
1.2275276,1.1744256,0.23482597
1.8674135,-1.3138933,-0.1347171
1.2794204,1.7946458,-0.39880586
0.6318903,0.7088063,0.22896755
0.4687662,-0.52243185,-0.62573457
0.07629585,0.14524984,-1.1620178
-0.3878727,0.23852777,-0.24722973
-0.69260216,-0.020491123,1.2637372
0.26465225,0.120194435,1.09533
0.730196,-0.38582706,0.6611717
0.8978982,-0.35878658,0.56412053
0.18238878,-0.59277534,2.2503495
-0.20964861,-0.5509925,3.10429
0.20752478,0.62190056,2.014326
-0.23646593,0.9756894,1.4898987
-0.94199944,1.3630044,1.6170158
-1.2449083,1.9908941,1.1130371
-1.2533636,2.0433812,-0.38937092
-1.5499096,1.2709893,-1.213007
-1.0823469,0.5667346,-1.7401342
-0.8612528,-0.08625054,-1.6852298
-0.56805706,-0.49190283,-1.1888714
0.08846855,-1.0717686,-1.2297583
-0.8167839,-1.4214306,-1.5562546
-1.923254,-1.7402165,-1.6027894
-2.816803,-1.8507695,-1.2954683
-1.839529,-1.1216683,-1.2474147
-0.38357162,-1.1484408,-1.2243218
0.17895699,-0.05619812,-0.70235467
0.6447048,0.3608961,-0.6533015
1.0577049,0.6891284,-0.57900333
1.5534,1.83849,-0.7551667
1.9702435,1.0050173,-0.5920992
2.128232,0.81482744,-0.27015102
2.0669222,0.60576534,0.0385592
1.987844,0.20841193,0.18710053
1.7319074,0.26516032,0.59475404
1.4501224,-0.23788619,0.6763744
0.8361411,-0.77742124,0.19077794
0.2562542,-1.1763537,-0.044921637
-0.21753693,-0.72988176,0.026412547
-0.4747944,0.009417534,0.13182572
-0.8462992,0.13014293,0.0031571388
-1.3905191,0.60426974,-0.26153314
-1.0661459,1.0532782,-0.5918253
-0.6348324,0.82119787,-0.26997572
-0.6254101,0.7845236,0.3972271
-0.5902653,0.7794394,0.6434268
0.21216202,0.9386083,0.1942081
-0.17067528,0.7432122,-0.3553133
-0.96884537,0.026695192,0.57551897
-0.32126427,-0.3276801,1.3290775
0.68005466,-0.18366647,1.4711866
1.2795258,-0.37497103,0.84196067
1.1483383,-1.0474979,3.7168226
0.9218769,1.2955283,3.0284572
0.5900011,0.8291382,1.9382124
-0.51878834,0.46629232,2.348302
-6.8028812,-3.5307636,4.9076595
-6.86833,-5.190958,3.2542915
-3.382887,-3.2118893,-0.031812668
-0.0045204163,-1.9866562,-1.518939
3.1750755,-0.68152905,-1.9313335
4.6675854,-0.5878744,-1.8259854
5.584485,0.662652,-2.5844665
5.723872,2.0881639,-3.2660272
5.479041,2.0045028,-3.0157597
4.619028,2.1823356,-3.2294674
5.3205004,0.97837996,0.39246488
3.3269732,1.8320748,-0.38165808
2.3621707,0.7940526,-1.4563019
1.5914679,0.23697829,-1.9234244
0.53127146,0.12561727,-1.2202656
-0.38475895,0.17386508,-0.3749134
-0.75956297,0.22159863,-0.21236339
-1.1312141,0.59231603,-0.6093899
-1.6663349,-2.9766312,-0.48347926
-5.3583965,-10.013918,3.499844
-9.579983,-10.567539,6.240707
-10.309742,-8.320032,4.823021
-7.0763083,-6.166048,3.943283
-2.0940304,-0.19829178,-0.7599945
1.3214073,5.4536896,-2.0033627
3.0384064,7.6106863,-1.7510328
3.7680035,6.5425673,-1.830111
3.2512164,4.990163,-2.326617
3.2499146,4.378164,-2.889547
3.1234343,4.2071342,-2.410128
2.3989253,3.6808925,-1.7355505
1.5368447,3.701121,-1.1597856
1.2808447,2.354927,-0.52927464
0.9944217,1.1960986,-0.39849502
0.5383632,0.90953827,-0.36536163
0.21124315,0.06725538,0.14617625
0.10301781,-0.83342594,0.75703394
-0.06278086,-0.79847866,0.26231986
-0.57035136,0.3562492,-0.2826083
-1.4131107,0.7244612,-0.45821366
-3.530734,-1.2831545,1.1608856
-7.650263,-5.5146203,2.811557
-9.120689,-6.3211884,3.7009673
-6.336767,-6.2076206,3.0060515
-1.4016075,-6.27744,3.408661
1.8932686,-3.5011806,2.671876
4.049491,0.4683323,0.40755558
5.184308,2.6180868,-1.5181513
4.8425856,4.525634,-2.4027748
4.115163,4.4761953,-2.282468
3.571465,3.7887356,-1.7519143
3.0580115,3.0744815,-1.4506676
2.4872994,2.1714623,-1.3590004
2.1925292,1.5506263,-1.407594
1.6039486,0.40859866,-1.1261067
